List of Companies
Beverages
Carnation[3][4]
Caro (sold in the US as Pero)
cocoa D'Onofrio (Peru)
"Enviga (joint-venture with Coca-Cola, Beverage Partners Worldwide)"
Libby's[4]
Milo
Nescau (Brazil)
Nesquik
"Nestea (joint-venture with Coca-Cola, Beverage Partners Worldwide)"
Ovaltine[5] (U.S. only)
Ricacao (Ecuador)
Romanette (Switzerland)
Special.T[6]
Supligen (Caribbean) – milk beverage[7]
Sweet Leaf Tea
Coffee
Blue Bottle Coffee Company [8]
Bonka [9]
Buondi (Portugal)[10]
Chameleon Cold-Brew
Christina (Portugal)[10]
Dolca (Argentina)
Dolce Gusto
"Ecco (Chile, Peru)"
El Chaná (Uruguay)
International Roast
Kirma (Peru)
Loumidis (Greece)
Mountain Blend
Nescafé [11]
Nespresso [12]
Partner's Blend [13]
Ricoffy
Ricoré
Ristretto
Sical [10]
Starbucks (Perpetual License)
Sunrise (India)
Taster's Choice [4]
Tofa [10]
Zoégas
Water
"Aberfoyle (Ontario, Canada)"
Acqua Panna (Italy)
Alaçam (Turkey)
Aqua Mineral (Poland)
Aqua Pod
Aqua Spring (Greece)
Aquarel (Spain)
Arctic (Poland)
Arrowhead (US) [14]
Baraka (Egypt)
Buxton (UK)
Calistoga (US)
Charmoise (Belgium)
Ciego Montero (Cuba)
Contrex (France) [15]
Cristalp (Switzerland)
Da Shan YunNan Spring (China)
Dar Natury (Poland)
Deep Spring (California)
Deer Park (US)
Eco de los Andes (Argentina)
Erikli (Turkey)
Frische Brise (Germany)
Gerber (Mexico)
Ghadeer (Jordan)
Glaciar (Argentina)
Henniez (Switzerland)
Hépar (France)
Hidden Spring (Philippines)
Ice Mountain (US) [16]
?orpi (Greece)
La Vie (Vietnam)
Levissima (Italy)
Los Portales (Cuba)
Minéré (Thailand)
Montclair (Canada)
Naleczowianka (Poland)
Nestlé Selda (Portugal)
Nestlé Vera (Italy)
Neuselters (Germany)
Ozarka (US)
Pejo (Italy)
Perrier [17] (France)
Petrópolis (Brazil)
Plancoët (France)
Poland Spring (US)
Porvenir (Chile)
Powwow
Princes Gate (UK)
Pure Life/Pureza Vital/Vie Pure
Quézac (France)
Recoaro (Italy)
Saint-Lambert (France)
Sainte-Alix (France)
San Pellegrino (Italy)
Santa Bárbara (Brazil)
Santa Maria (Mexico)
São Lourenço (Brazil)
Sohat (Lebanon)
Springs (Saudi Arabia)
Theodora (Hungary)
Valvert (Belgium)
Viladrau (Spain)
Vittel (France)
Water Line (South Korea)
Waterman (China)
Zephyrhills (US)
Cereals
Cerevita (Zimbabwe)
Cheerios [4] (in some non-US markets)
Chocapic [18]
Cini Minis [19]
Clusters [20]
Cookie Crisp (in non-US markets)
Crunch (chocolate) [21]
Curiously Cinnamon [22]
Curiously Strawberry [23]
Estrelitas [24]
Fitness [25]
Force Flakes
